"","gene","MCBB_Temporal.cortex","MCBB_Cerebellum","ROSMAP_Dorsolateral.prefrontal.cortex","MSBB_BM10","MSBB_BM22","MSBB_BM36","MSBB_BM44"
"1","ACACA",NA,0.152608707299065,NA,NA,-0.188873760412913,NA,NA
"2","FASN",NA,NA,-0.154621613005247,NA,NA,NA,NA
"3","GPAM",0.314336783778374,NA,NA,NA,NA,NA,NA
"4","AGPAT1",NA,-0.179340172697802,NA,NA,-0.364339151832008,NA,NA
"5","LPIN1",0.13646344827965,0.1030268075862,NA,NA,NA,NA,NA
"6","DGAT1",NA,NA,0.075474777771281,NA,NA,NA,NA
"7","PLIN2",0.337797957197332,NA,0.278495690747804,NA,NA,NA,NA
"8","ABCA1",0.377361870102806,NA,NA,NA,NA,NA,NA
"9","ABCA7",NA,0.223731427093438,NA,NA,0.25807069465658,NA,NA
"10","SREBF1",NA,-0.282216899514698,NA,NA,NA,NA,0.318188512105271
"11","SREBF2",NA,NA,NA,NA,NA,NA,NA
"12","PNPLA2",NA,NA,NA,NA,NA,NA,0.171773104126926
"13","CPT1A",0.321117949061283,NA,NA,NA,NA,NA,NA
"14","ACAT1",0.0830652385604358,NA,NA,NA,-0.179589507529895,NA,NA
"15","HMGCS1",NA,NA,NA,NA,-0.402707957841823,NA,NA
"16","CDS1",NA,NA,NA,NA,NA,NA,NA
"17","CDS2",NA,0.210098650622241,NA,NA,-0.221349955553993,NA,NA
"18","PLPP1",0.26549823907078,NA,NA,NA,NA,NA,0.186125778299947
"19","PLPP3",0.392326452006928,NA,NA,NA,NA,NA,NA
"20","CDIPT",NA,NA,NA,NA,-0.279404535037759,NA,NA
"21","CEPT1",NA,0.21852224206065,NA,NA,NA,NA,NA
"22","PTDSS1",NA,NA,NA,NA,-0.430931533150021,NA,NA
"23","PGS1",NA,0.108906630078834,NA,NA,NA,NA,NA
