"gene","MSBB_BM10","MSBB_BM22","MSBB_BM36","MSBB_BM44","MCBB_Temporal cortex","MCBB_Cerebellum","ROSMAP_Dorsolateral prefrontal cortex"
"ACACA",NA,NA,NA,NA,NA,NA,NA
"FASN",NA,NA,NA,NA,NA,NA,NA
"GPAM",NA,NA,NA,NA,NA,NA,NA
"AGPAT1",NA,NA,NA,NA,NA,NA,NA
"LPIN1",NA,NA,NA,NA,NA,NA,NA
"DGAT1",NA,NA,NA,NA,NA,NA,NA
"PLIN2",NA,NA,"padj<0.05",NA,NA,NA,NA
"ABCA1",NA,NA,NA,NA,NA,NA,NA
"ABCA7","padj<0.05",NA,NA,NA,NA,NA,NA
"SREBF1",NA,NA,NA,NA,NA,NA,NA
"SREBF2",NA,NA,NA,NA,NA,NA,NA
"PNPLA2",NA,NA,NA,NA,NA,NA,NA
"CPT1A",NA,NA,NA,NA,NA,NA,NA
"ACAT1","padj<0.05",NA,NA,NA,NA,NA,NA
"HMGCS1",NA,NA,NA,NA,NA,NA,NA
